      t     t      c/c0
0  0.00   0.0  1.000000
1  0.71   5.0  0.895791
2  1.42  10.0  0.776181
3  2.13  15.0  0.648871
4  2.84  20.0  0.520534
5  3.55  25.0  0.409754
6  4.26  30.0  0.296971
7  4.97  35.0  0.208778
8  5.68  40.0  0.142762
9  6.39  45.0  0.101078
      t     t      c/c0
0  0.00   0.0  1.000000
1  0.71   5.0  0.895791
2  1.42  10.0  0.776181
3  2.13  15.0  0.648871
4  2.84  20.0  0.520534
5  3.55  25.0  0.409754
6  4.26  30.0  0.296971
7  4.97  35.0  0.208778
8  5.68  40.0  0.142762
9  6.39  45.0  0.101078
      t     t      c/c0
0  0.00   0.0  1.000000
1  0.71   5.0  0.895791
2  1.42  10.0  0.776181
3  2.13  15.0  0.648871
4  2.84  20.0  0.520534
5  3.55  25.0  0.409754
6  4.26  30.0  0.296971
7  4.97  35.0  0.208778
8  5.68  40.0  0.142762
9  6.39  45.0  0.101078
      t     t      c/c0
0  0.00   0.0  1.000000
1  0.71   5.0  0.895791
2  1.42  10.0  0.776181
3  2.13  15.0  0.648871
4  2.84  20.0  0.520534
5  3.55  25.0  0.409754
6  4.26  30.0  0.296971
7  4.97  35.0  0.208778
8  5.68  40.0  0.142762
9  6.39  45.0  0.101078
      t     t      c/c0
0  0.00   0.0  1.000000
1  0.71   5.0  0.895791
2  1.42  10.0  0.776181
3  2.13  15.0  0.648871
4  2.84  20.0  0.520534
5  3.55  25.0  0.409754
6  4.26  30.0  0.296971
7  4.97  35.0  0.208778
8  5.68  40.0  0.142762
9  6.39  45.0  0.101078
      t     t      c/c0
0  0.00   0.0  1.000000
1  0.71   5.0  0.895791
2  1.42  10.0  0.776181
3  2.13  15.0  0.648871
4  2.84  20.0  0.520534
5  3.55  25.0  0.409754
6  4.26  30.0  0.296971
7  4.97  35.0  0.208778
8  5.68  40.0  0.142762
9  6.39  45.0  0.101078
      t     t      c/c0
0  0.00   0.0  1.000000
1  0.71   5.0  0.895791
2  1.42  10.0  0.776181
3  2.13  15.0  0.648871
4  2.84  20.0  0.520534
5  3.55  25.0  0.409754
6  4.26  30.0  0.296971
7  4.97  35.0  0.208778
8  5.68  40.0  0.142762
9  6.39  45.0  0.101078
      t     t      c/c0
0  0.00   0.0  1.000000
1  0.71   5.0  0.895791
2  1.42  10.0  0.776181
3  2.13  15.0  0.648871
4  2.84  20.0  0.520534
5  3.55  25.0  0.409754
6  4.26  30.0  0.296971
7  4.97  35.0  0.208778
8  5.68  40.0  0.142762
9  6.39  45.0  0.101078
